size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
30500;0;5.44764e-05;0.0133724;0.000391993;0.000406599;0.000883465;0.00059253;0.00233656
31000;0;3.75019e-05;0.0134103;0.00039002;0.000223827;0.000824647;0.000545159;0.00239262
31500;0;3.15805e-05;0.0134391;0.000391599;0.000221458;0.000823462;0.000579108;0.00223195
32000;3.94764e-07;3.43438e-05;0.013402;0.00043739;0.000221458;0.000822673;0.000555028;0.00238236
32500;0;3.0791e-05;0.0142337;0.000448049;0.000248697;0.00098176;0.000545159;0.00234643
33000;0;3.19752e-05;0.0144481;0.000389625;0.000245539;0.000804514;0.00056845;0.00249407
33500;3.94764e-07;3.35543e-05;0.0135938;0.000391993;0.00025146;0.000804119;0.000545159;0.00233656
34000;0;3.15806e-05;0.0138654;0.000391993;0.000228564;0.000958074;0.000545554;0.00232235
34500;3.94764e-07;3.27649e-05;0.0137052;0.000391993;0.00025225;0.000801356;0.000545554;0.00230617
35000;0;3.51333e-05;0.0134604;0.000412126;0.000232117;0.000800567;0.000615031;0.00262237
35500;0;3.71072e-05;0.0143672;0.000447654;0.000260934;0.000849122;0.000545554;0.00231091
36000;3.94648e-07;4.06599e-05;0.0141714;0.000492262;0.000226196;0.00082662;0.000545554;0.00228959
36500;0;3.67123e-05;0.013674;0.000472129;0.000246723;0.000813594;0.000569239;0.00246131
37000;0;5.76344e-05;0.0135267;0.000438575;0.00022659;0.000847148;0.000569239;0.0022959
37500;0;5.5266e-05;0.0136227;0.000389625;0.000224616;0.000834516;0.00056845;0.00236578
38000;0;5.80292e-05;0.0136195;0.000412521;0.000254618;0.00107769;0.000577924;0.00229867
38500;0;3.237e-05;0.0149238;0.000412521;0.000251855;0.00114164;0.000550291;0.00226748
39000;3.94764e-07;3.03963e-05;0.0153845;0.0004141;0.000251065;0.0009336;0.00057516;0.00245144
39500;3.94764e-07;3.03963e-05;0.0139602;0.000433048;0.00025146;0.000851885;0.000569634;0.00263066
40000;0;3.35543e-05;0.0144757;0.000469366;0.000327648;0.000831752;0.000568844;0.00245381
40500;0;3.51333e-05;0.0140743;0.000460681;0.000310279;0.000833331;0.000545949;0.00244473
41000;3.94648e-07;3.43438e-05;0.0140861;0.000403836;0.000241591;0.000878728;0.000545554;0.00286199
41500;0;3.00015e-05;0.0145724;0.000403047;0.000240407;0.000841227;0.000545554;0.0023188
42000;3.94764e-07;3.00015e-05;0.0146313;0.000432259;0.000264882;0.00083491;0.000550686;0.0023192
42500;0;3.03963e-05;0.0143849;0.000403836;0.000277909;0.000835305;0.000550291;0.00232156
43000;0;3.00015e-05;0.0148346;0.000417653;0.000360018;0.000843595;0.000605162;0.00249802
43500;3.94764e-07;3.35543e-05;0.0145219;0.000605951;0.000285014;0.000842411;0.000573976;0.0023792
44000;0;3.23701e-05;0.014197;0.000492656;0.000273566;0.000928862;0.000587793;0.00233775
44500;0;3.31596e-05;0.0149708;0.000426337;0.000260539;0.000837674;0.000567265;0.00231209
45000;0;3.27647e-05;0.0171739;0.000423969;0.000249881;0.000815962;0.00055108;0.00242815
45500;0;3.11858e-05;0.0159541;0.000446075;0.00026725;0.000879123;0.000550686;0.00228485
46000;3.94764e-07;3.27647e-05;0.0146613;0.000423179;0.000244749;0.000869649;0.000546343;0.00233064
46500;3.94764e-07;3.00015e-05;0.0147177;0.000443312;0.000245144;0.000824252;0.000594109;0.00228604
47000;0;3.27647e-05;0.0145223;0.000450417;0.000251855;0.00102795;0.000613847;0.00228604
47500;0;5.76344e-05;0.0151693;0.00041331;0.000241986;0.00118822;0.000546343;0.00235236
48000;0;3.31596e-05;0.0149269;0.000421995;0.000245539;0.000870044;0.000609504;0.00230656
48500;0;3.51333e-05;0.0149475;0.000421995;0.000238433;0.000890571;0.000569239;0.00239104
49000;0;3.59229e-05;0.0144698;0.000428311;0.000239223;0.000908335;0.000546738;0.00235117
49500;0;3.27647e-05;0.0144169;0.00043739;0.000239223;0.00123914;0.00057595;0.00241591
50000;0;3.71072e-05;0.0146364;0.000402257;0.000285409;0.00093281;0.000793066;0.0023938
50500;0;3.98704e-05;0.0147315;0.000434627;0.000243565;0.000894519;0.00057674;0.00237565
51000;0;3.94756e-05;0.0167756;0.0004216;0.00024396;0.000925704;0.000588977;0.00268198
51500;3.94764e-07;4.26337e-05;0.017464;0.000438575;0.000245539;0.000881492;0.000596083;0.00259671
52000;0;3.51333e-05;0.0151156;0.000401862;0.000252644;0.000896098;0.000579503;0.00240367
52500;0;3.15806e-05;0.014994;0.000417653;0.00024317;0.000888597;0.00056766;0.00293186
53000;0;3.00015e-05;0.0149688;0.000401468;0.000243565;0.000990444;0.000547133;0.00247512
53500;0;3.11857e-05;0.0150233;0.000401073;0.00024396;0.000864912;0.000570818;0.00240723
54000;3.94764e-07;3.15806e-05;0.015435;0.000440943;0.000244354;0.000893334;0.000547528;0.00243367
54500;0;3.03963e-05;0.0152127;0.000407389;0.000244749;0.000866491;0.000570423;0.00329819
55000;3.94764e-07;3.15806e-05;0.0149861;0.000421995;0.000238828;0.000866886;0.000782013;0.00252526
55500;0;3.0791e-05;0.0151733;0.000424363;0.000239617;0.000867675;0.000747669;0.00238867
56000;0;3.39492e-05;0.0149068;0.000433048;0.00029133;0.00099755;0.000591345;0.00250078
56500;0;3.19752e-05;0.0149834;0.000401862;0.000245144;0.0009336;0.000581871;0.00239223
57000;0;3.03962e-05;0.0169422;0.000401468;0.000245933;0.000866096;0.000585029;0.00238867
57500;3.94764e-07;3.00015e-05;0.017183;0.00042989;0.000253829;0.000873991;0.000548317;0.00235275
58000;3.94764e-07;3.15805e-05;0.0158436;0.000401862;0.000251855;0.000960443;0.000688061;0.00246605
58500;0;3.00015e-05;0.0160196;0.0004291;0.00025225;0.000872412;0.000823462;0.00249249
59000;0;3.00015e-05;0.0156683;0.000424758;0.000272777;0.00100466;0.000634374;0.00255408
59500;0;2.96067e-05;0.0158376;0.000402257;0.000288172;0.000994787;0.000596477;0.00245657
60000;0;3.00015e-05;0.0158447;0.000401468;0.000268829;0.000960838;0.000693587;0.00247512
60500;3.94764e-07;3.23701e-05;0.0158621;0.000401073;0.00025975;0.000879518;0.000637137;0.00244907
61000;0;4.77656e-05;0.0156963;0.000448444;0.000261329;0.000882281;0.000573976;0.00242144
61500;3.94764e-07;4.50022e-05;0.015512;0.000423969;0.00025896;0.000960443;0.000570423;0.00247473
62000;0;3.82914e-05;0.015673;0.000401862;0.00025225;0.000940705;0.000577134;0.00244354
62500;0;3.3949e-05;0.0154555;0.000401073;0.000253434;0.000907151;0.000565686;0.00242657
63000;0;3.15806e-05;0.0167606;0.000401862;0.000254223;0.00091702;0.000568844;0.0025225
63500;0;3.0791e-05;0.0178462;0.000401073;0.000268435;0.000910704;0.000566081;0.00264013
64000;0;3.03963e-05;0.0157543;0.000425153;0.000258566;0.00100229;0.000566871;0.00241788
64500;3.94764e-07;3.43438e-05;0.015913;0.000402652;0.00030791;0.000888597;0.000573581;0.00244354
65000;0;3.15806e-05;0.0166137;0.000416863;0.000256987;0.000918204;0.000580687;0.00272185
65500;0;3.00015e-05;0.0159569;0.000404626;0.000306726;0.00110216;0.000572002;0.00246249
66000;3.94764e-07;2.96067e-05;0.0156726;0.000401468;0.000257381;0.000913862;0.000548712;0.00241038
66500;0;3.11858e-05;0.015538;0.000401862;0.000258171;0.000890966;0.000572397;0.0024171
67000;0;3.03963e-05;0.0158905;0.000421995;0.000266066;0.00088386;0.000549107;0.00247118
67500;0;3.00015e-05;0.0155384;0.000421995;0.000266856;0.000886229;0.000654112;0.00241946
68000;3.94764e-07;3.00015e-05;0.0167428;0.000412521;0.000271198;0.000992813;0.000579898;0.00266895
68500;0;3.00015e-05;0.0192815;0.000401862;0.000271987;0.00136625;0.000550291;0.00250473
69000;3.94764e-07;3.00015e-05;0.0162146;0.000446075;0.000272777;0.000919388;0.000549107;0.00243289
69500;3.94764e-07;4.10547e-05;0.0160271;0.000401468;0.000273566;0.000945047;0.000573976;0.00245104
70000;3.94764e-07;3.35544e-05;0.0160674;0.000402652;0.000262513;0.000896887;0.00059253;0.00254934
70500;0;3.00015e-05;0.015977;0.00042239;0.000266461;0.000893334;0.000583056;0.00249842
71000;0;2.96067e-05;0.0162186;0.000401073;0.000266855;0.000911493;0.0006249;0.00243249
