size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
30500;0.000168166;0.000164219;0.00448601;0.000191062;0.000176851;0.000223038;0.000177246;0.000400283
31000;0.000165403;0.000163429;0.00210287;0.000191852;0.00017843;0.000219485;0.000177246;0.000400678
31500;0.000166982;0.000163429;0.00209182;0.000191062;0.0002033;0.000221853;0.000198957;0.000400678
32000;0.000165798;0.000164614;0.00209261;0.000191457;0.000202115;0.000219485;0.00017764;0.000401073
32500;0.000165798;0.000166982;0.00171877;0.000209221;0.000216327;0.000220669;0.000197773;0.000401073
33000;0.000165798;0.000163429;0.00231643;0.000191852;0.000223038;0.000219485;0.000177641;0.000401468
33500;0.000167772;0.000164219;0.00192681;0.000191852;0.00021909;0.000219485;0.00017764;0.000400283
34000;0.000165403;0.000163429;0.00178351;0.000191062;0.000187509;0.000219485;0.000200142;0.000400678
34500;0.000166982;0.000163429;0.00163745;0.000191852;0.000182378;0.000219879;0.00017764;0.000423574
35000;0.000165403;0.000164219;0.00167535;0.000191062;0.000178035;0.000222248;0.00017764;0.000401468
35500;0.000167377;0.000163824;0.00173653;0.000191457;0.000177246;0.000219879;0.000198168;0.000401073
36000;0.000165403;0.000163824;0.00208313;0.000191852;0.000201721;0.000221458;0.000177246;0.000401468
36500;0.000164219;0.000164219;0.0070472;0.000191062;0.000187115;0.000219879;0.000189483;0.000404626
37000;0.000166982;0.000163429;0.00255605;0.000191852;0.000178035;0.000249881;0.000191852;0.000400678
37500;0.000164219;0.000167377;0.00267724;0.000191457;0.000177246;0.000245933;0.000177641;0.000408968
38000;0.000164614;0.000166587;0.00264724;0.000191062;0.000177246;0.000238828;0.000201326;0.000410942
38500;0.000164219;0.000163429;0.00203339;0.000191852;0.00017764;0.000213563;0.00017764;0.000412126
39000;0.000163824;0.000163824;0.00281659;0.000191457;0.000177246;0.000236459;0.000188694;0.000416863
39500;0.000163429;0.000164614;0.00192799;0.000191457;0.000176851;0.000213563;0.000188299;0.000447259
40000;0.000163824;0.000163824;0.00182535;0.00019501;0.000178035;0.000214353;0.000177641;0.000412915
40500;0.000163035;0.000163429;0.00242065;0.000195799;0.000177246;0.000213563;0.000189483;0.000400678
41000;0.000163429;0.000163824;0.00212182;0.000202115;0.000177641;0.000213563;0.000188299;0.000400678
41500;0.000163034;0.000163035;0.00441496;0.000193036;0.000177246;0.000214353;0.000177246;0.000400283
42000;0.000163429;0.000163429;0.00199194;0.000198168;0.000176851;0.000213563;0.000197773;0.000400283
42500;0.000164613;0.000167772;0.00194497;0.000193036;0.00017764;0.000256987;0.00017764;0.000444891
43000;0.000165403;0.000163429;0.00187983;0.000193431;0.000177246;0.000213169;0.000192641;0.000401073
43500;0.000166982;0.000163824;0.00173298;0.000192247;0.000177246;0.000236065;0.00018593;0.000411731
44000;0.000162245;0.000164613;0.00263816;0.000191457;0.00017764;0.000213169;0.000182772;0.000404231
44500;0.000166193;0.000163429;0.00283277;0.000191457;0.000177246;0.000236064;0.000183562;0.000400678
45000;0.000164219;0.000163429;0.00269106;0.000191852;0.000177246;0.000213563;0.000182772;0.000401073
45500;0.000167377;0.000164219;0.00207089;0.000191457;0.00017764;0.000214353;0.000182772;0.000400283
46000;0.000164614;0.000163824;0.00176456;0.000191852;0.000176851;0.000213958;0.000183167;0.000400283
46500;0.000165798;0.000163824;0.00180443;0.000191062;0.000176851;0.000213563;0.000248302;0.000400283
47000;0.000163429;0.000165008;0.00255644;0.000191457;0.00017764;0.000215142;0.000203694;0.000400678
47500;0.000163429;0.000163429;0.00485985;0.000191852;0.000176851;0.000213563;0.000183167;0.000401073
48000;0.000163429;0.000165798;0.00193983;0.000191457;0.000177246;0.000236854;0.000182772;0.000410942
48500;0.000163429;0.000183562;0.00265908;0.000191852;0.000176851;0.000268829;0.000183562;0.000423969
49000;0.000163035;0.000168956;0.00276961;0.000191457;0.000176851;0.00025146;0.000182772;0.000457128
49500;0.000164219;0.000169351;0.00232235;0.000191457;0.00019422;0.000316595;0.000183562;0.00061661
