size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
472000;0.147968;0.0236826;0.00172469;0.390583;0.0828843;0.00234446;0.00114953;0.00201444
471500;0.144685;0.0244544;0.00160153;0.391956;0.080787;0.00245618;0.0011973;0.00205352
471000;0.142695;0.0248128;0.00157232;0.386774;0.0775038;0.00242223;0.00119848;0.00204839
470500;0.147817;0.0249534;0.00157192;0.40032;0.0803965;0.00249052;0.00122138;0.00204563
470000;0.142034;0.0240758;0.00155574;0.391661;0.0786774;0.00241433;0.00121625;0.00205589
469500;0.142852;0.0237008;0.00161219;0.397482;0.0792154;0.00235591;0.00115664;0.00200773
469000;0.15248;0.0244346;0.00158376;0.380283;0.0774406;0.00251776;0.00119414;0.0019876
468500;0.142994;0.0266871;0.00162008;0.375788;0.0764059;0.00269461;0.00124704;0.00198523
468000;0.139763;0.0253205;0.00166469;0.376207;0.0746536;0.00249526;0.00115901;0.00201207
467500;0.142757;0.0240036;0.00166666;0.397261;0.0810522;0.00247947;0.00116809;0.0020551
467000;0.152508;0.0229172;0.00162758;0.368769;0.0744811;0.00236775;0.00113137;0.00202747
466500;0.141917;0.0242878;0.00159245;0.401842;0.0846011;0.00239499;0.00118466;0.00209182
466000;0.141343;0.0247939;0.00155771;0.377221;0.0775373;0.00241157;0.0011973;0.00203181
465500;0.144774;0.023745;0.00159008;0.408033;0.0824145;0.00238078;0.00116137;0.00212892
465000;0.139005;0.0240146;0.00158337;0.392536;0.0784808;0.00233656;0.00116335;0.00204721
464500;0.136628;0.0256742;0.00155297;0.388513;0.0774244;0.00245104;0.00121467;0.00203181
464000;0.139136;0.0259035;0.00156284;0.378918;0.0753156;0.00237841;0.00118269;0.00203931
463500;0.138685;0.0247662;0.00157745;0.376224;0.0762074;0.00239341;0.00118782;0.00199668
463000;0.137061;0.0248622;0.00153679;0.39094;0.078722;0.00233972;0.00116809;0.00204484
462500;0.139621;0.0244678;0.00153402;0.391661;0.0783659;0.00235314;0.00115545;0.00201721
462000;0.137722;0.0241386;0.00151823;0.370322;0.0747945;0.00240446;0.00118269;0.0020551
461500;0.142954;0.0234616;0.00156126;0.385147;0.0772334;0.00232985;0.00114716;0.00248381
461000;0.145897;0.025671;0.00155179;0.369762;0.0760037;0.00246091;0.0012348;0.00214077
460500;0.14172;0.025343;0.00154903;0.385292;0.0783004;0.00242736;0.00121901;0.00211471
460000;0.14129;0.0258522;0.00154942;0.360337;0.0726447;0.00239736;0.00123559;0.00203181
459500;0.142849;0.0228801;0.00156639;0.374519;0.0773431;0.00232314;0.00126006;0.0020705
459000;0.134018;0.0237837;0.00155653;0.37598;0.0780742;0.00237328;0.00124467;0.00206024
458500;0.138271;0.0232591;0.00154034;0.372199;0.0772322;0.00233775;0.00120282;0.00197181
458000;0.137153;0.0233767;0.00152337;0.369614;0.0747618;0.00233104;0.00119493;0.00197931
457500;0.133209;0.0238117;0.00151231;0.388325;0.0771647;0.00232275;0.00116453;0.00199786
457000;0.137213;0.0236483;0.00156482;0.374081;0.0749805;0.00229512;0.0011519;0.00194023
456500;0.137188;0.0239617;0.00178667;0.390292;0.0783868;0.0023938;0.00117401;0.00204247
456000;0.133938;0.0235508;0.00188812;0.358747;0.0714616;0.00232985;0.00113887;0.00193944
455500;0.13435;0.0245633;0.00180127;0.38147;0.0781291;0.00236025;0.00118388;0.00216287
455000;0.133975;0.0231379;0.00162442;0.385549;0.0785708;0.00233656;0.00113966;0.00216011
454500;0.135741;0.0242444;0.00153639;0.386822;0.0776664;0.0023942;0.00118388;0.0021234
454000;0.137157;0.0231754;0.00153126;0.384442;0.0785736;0.00230459;0.00113611;0.00211155
453500;0.128864;0.0247635;0.00156087;0.382411;0.0764186;0.00240841;0.00117953;0.00212024
453000;0.136094;0.0256402;0.00199944;0.380127;0.0799145;0.00235551;0.00116414;0.00210761
452500;0.146547;0.0251898;0.00187786;0.398123;0.0879826;0.00244315;0.00120243;0.00209182
452000;0.129512;0.023852;0.00226393;0.363225;0.0736837;0.00237644;0.00115466;0.00200615
451500;0.136791;0.0249411;0.00169666;0.379981;0.0790599;0.00236262;0.00117243;0.00208589
451000;0.135198;0.0236392;0.00163153;0.381153;0.0759725;0.00230419;0.00113887;0.00205234
450500;0.127515;0.0237118;0.00161692;0.382408;0.0766503;0.00236143;0.00114874;0.00204366
450000;0.1361;0.0247078;0.00161377;0.371667;0.075517;0.00239815;0.00118545;0.00201997
449500;0.132039;0.0224253;0.00158732;0.372048;0.0749015;0.00227893;0.00110848;0.00201563
449000;0.131828;0.0229583;0.00224538;0.386512;0.0775531;0.00233222;0.00113019;0.00202352
