size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
30500;0.00847779;0.000955706;0.00100189;0.0202822;0.00720786;0.00060003;0.000301594;0.000598056
31000;0.00825081;0.00096518;0.00095768;0.0199103;0.00702114;0.00060832;0.000314621;0.000577924
31500;0.00876202;0.00100229;0.000941889;0.0210579;0.00756196;0.000614241;0.0003237;0.000590951
32000;0.0084395;0.00104768;0.000970312;0.0228465;0.00800724;0.000632795;0.000319358;0.000618978
32500;0.0102376;0.00112585;0.000951758;0.0336246;0.0100252;0.000639506;0.000327253;0.000619768
33000;0.00984128;0.00119177;0.000980576;0.0424324;0.0110485;0.00065727;0.000335543;0.000618978
33500;0.0107903;0.001054;0.000955311;0.0448479;0.0118723;0.000633584;0.000320148;0.000637532
34000;0.0137608;0.00113611;0.000956101;0.0413693;0.0108183;0.000656086;0.000335148;0.000662007
34500;0.0102992;0.00113729;0.000992813;0.0429168;0.011324;0.000655296;0.000334754;0.000667139
35000;0.00913349;0.0011144;0.00100466;0.0425666;0.0109269;0.000668718;0.000338306;0.000632005
35500;0.0120464;0.00112821;0.000974259;0.0409947;0.010799;0.000668718;0.000339491;0.000652533
36000;0.0106829;0.00115861;0.000960838;0.0388081;0.0103659;0.000682929;0.00034857;0.000639111
36500;0.00965575;0.00114124;0.000994787;0.0409394;0.0108444;0.000668323;0.000342254;0.000662796
37000;0.00983971;0.00117203;0.00098926;0.0404006;0.0107307;0.000703062;0.000347386;0.000667139
37500;0.00992024;0.00112427;0.000975839;0.0420218;0.0113121;0.000665165;0.00034028;0.000680166
38000;0.0102755;0.00118861;0.00133467;0.0402229;0.0106983;0.000683719;0.000352912;0.000678981
38500;0.0115289;0.00116374;0.0010011;0.0382496;0.0104922;0.000685692;0.000351333;0.000677797
39000;0.0122055;0.00130625;0.00100268;0.0400793;0.0115604;0.00071451;0.00037265;0.000681745
39500;0.0105278;0.00137336;0.000973865;0.0387458;0.0104003;0.000725168;0.000381335;0.000695561
40000;0.010675;0.00146573;0.000973865;0.0386909;0.0103158;0.000722799;0.000370282;0.000683719
40500;0.0109359;0.00142112;0.000988076;0.0382519;0.0106359;0.000734642;0.00039673;0.00071451
41000;0.0104283;0.0013706;0.000995971;0.0380763;0.0104192;0.000727931;0.000376993;0.000700693
41500;0.0110038;0.00142705;0.00098176;0.0377012;0.0104441;0.000729116;0.000380151;0.000707009
42000;0.0116165;0.00143455;0.00102439;0.0350015;0.00993524;0.000752406;0.000386072;0.00069793
42500;0.0113899;0.00158455;0.000989655;0.0363677;0.0101784;0.00078754;0.00038173;0.000700693
43000;0.0109916;0.00135125;0.00096597;0.0361475;0.0102368;0.000822673;0.000390414;0.000736221
43500;0.0111977;0.00141126;0.000988076;0.0371596;0.0103533;0.000915441;0.000399099;0.000732668
44000;0.0111167;0.00135086;0.000990445;0.0355226;0.0099984;0.000813594;0.000387651;0.00071372
44500;0.0132547;0.0014227;0.00101255;0.0355186;0.0101812;0.000960443;0.000402652;0.00074609
45000;0.0123456;0.00148784;0.00098176;0.0369705;0.0105404;0.000919388;0.000410942;0.000744511
45500;0.0170211;0.00148981;0.00101768;0.0357326;0.010403;0.000785566;0.000412126;0.000735826
46000;0.0141931;0.0015206;0.00097426;0.0365489;0.0105507;0.000896887;0.000421205;0.000750038
46500;0.0115241;0.00142231;0.000983734;0.0385077;0.0111602;0.000804909;0.000404626;0.000767012
47000;0.0118099;0.00141876;0.00101255;0.0385022;0.0112944;0.000771355;0.000399888;0.000772539
47500;0.0119157;0.00155574;0.00101137;0.0377162;0.0108791;0.000822278;0.000431864;0.000768591
48000;0.0119343;0.00147244;0.000996366;0.0366508;0.0109659;0.000781223;0.000412915;0.000765038
48500;0.0119805;0.00156521;0.000997945;0.0376025;0.01135;0.000821489;0.00042989;0.00077096
49000;0.0151606;0.00155337;0.0010011;0.0372986;0.0115123;0.000828199;0.000427521;0.000790303
49500;0.0222141;0.00159363;0.00101295;0.036438;0.0111831;0.000834516;0.000431074;0.000763459
50000;0.0126981;0.00183088;0.00102163;0.0385902;0.0116959;0.000839253;0.000434627;0.000800961
50500;0.0131363;0.0018443;0.000979786;0.0369871;0.0117953;0.000832147;0.000436996;0.000790698
51000;0.0166575;0.00168956;0.000983734;0.0371281;0.011596;0.000857806;0.000452391;0.000790303
51500;0.0176654;0.00161811;0.00101176;0.0390347;0.0119311;0.000832937;0.000440154;0.000811225
52000;0.0137087;0.00169864;0.00098926;0.0361191;0.0114104;0.000854648;0.000450023;0.000803725
52500;0.0133767;0.0017239;0.000995576;0.0395696;0.0124285;0.000887808;0.000465813;0.000840042
53000;0.0133432;0.00166153;0.000977418;0.0397469;0.0124889;0.000849516;0.000450023;0.000826226
53500;0.0134644;0.00166193;0.00101137;0.0394018;0.0125631;0.000871623;0.000459102;0.000824647
54000;0.0142918;0.00168245;0.000991629;0.0365987;0.0118711;0.000872807;0.000465418;0.000811225
54500;0.014336;0.00169272;0.000981365;0.0402936;0.0129109;0.000865307;0.000456734;0.000856622
55000;0.0145602;0.00176851;0.000987681;0.0394366;0.0130321;0.000864912;0.000460286;0.000838463
55500;0.0147252;0.00177088;0.00102124;0.0378789;0.0129149;0.000897677;0.000461076;0.000832147
56000;0.0150912;0.00185654;0.000977418;0.0399707;0.0129993;0.00123756;0.000489104;0.000851885
56500;0.0152013;0.0018143;0.00103624;0.0411277;0.0136258;0.00109624;0.000474498;0.000869649
57000;0.0152826;0.00191062;0.001144;0.0410815;0.0131411;0.000980181;0.000496999;0.000865307
57500;0.0154662;0.00182338;0.00132046;0.0398838;0.0135717;0.00092452;0.000483182;0.000866096
58000;0.0152664;0.00181746;0.00111045;0.0385768;0.0132986;0.000909519;0.000479235;0.0008432
58500;0.0153702;0.00208984;0.00115506;0.0389495;0.0137241;0.000942284;0.00050292;0.000855832
59000;0.0154654;0.00184272;0.00106505;0.0410918;0.014218;0.000928073;0.000490288;0.000873202
59500;0.015506;0.00191181;0.0010465;0.0404401;0.0137837;0.00127822;0.000504499;0.000882676
60000;0.0160595;0.00191496;0.00109861;0.0414601;0.0140561;0.000958864;0.000503315;0.000891755
60500;0.0156782;0.00200734;0.0010315;0.0415209;0.0142906;0.000978602;0.000522658;0.000899651
61000;0.0162308;0.00208116;0.00102716;0.0430486;0.0144777;0.000946232;0.000510026;0.000907546
61500;0.0159975;0.00192286;0.00108005;0.0426294;0.0145736;0.000945442;0.000504499;0.000891755
62000;0.0165462;0.00194576;0.00103821;0.0451582;0.0157137;0.000966364;0.000505683;0.000936758
62500;0.0167029;0.00208432;0.00100071;0.0419551;0.0145736;0.000988471;0.000528184;0.000893334
63000;0.0174557;0.00210208;0.00102281;0.0430155;0.0150888;0.00099834;0.000532922;0.000913072
63500;0.0168316;0.00200615;0.00100229;0.0457357;0.0160271;0.00095689;0.000513184;0.000950969
64000;0.0165233;0.00208787;0.00101887;0.0446505;0.0163777;0.00101334;0.000530948;0.000938731
64500;0.0170231;0.00203379;0.000995182;0.0439104;0.0160666;0.00102084;0.000539632;0.000936758
65000;0.0172596;0.00203931;0.00100031;0.0444259;0.0157224;0.000970707;0.000571608;0.00539317
65500;0.0169773;0.00202629;0.00103347;0.0897096;0.0265502;0.00556173;0.00482945;0.000879123
66000;0.0172623;0.00217195;0.00101137;0.0874923;0.0387576;0.000872412;0.000391993;0.00087636
66500;0.0172726;0.00222959;0.001039;0.0850957;0.0235311;0.000929652;0.000407784;0.000878728
67000;0.0179302;0.00213524;0.000967154;0.0924378;0.024711;0.000973865;0.000386467;0.000893334
67500;0.0175122;0.0022209;0.000970312;0.0864379;0.0227186;0.00106545;0.000406205;0.000861754
68000;0.0177494;0.00234722;0.00120046;0.0813803;0.0214562;0.00105795;0.000412126;0.000844385
68500;0.0177648;0.00219761;0.0010161;0.0863657;0.0233649;0.000978207;0.000390414;0.000876755
69000;0.0202285;0.0022059;0.00103979;0.087482;0.0230704;0.000877544;0.000401468;0.000874781
69500;0.0198511;0.00228248;0.000995182;0.0826545;0.0219599;0.00098097;0.000401468;0.000858201
70000;0.020045;0.00224656;0.000984523;0.0849374;0.0231896;0.00103031;0.000399494;0.000854648
70500;0.0184821;0.00228327;0.00102518;0.0857123;0.0229737;0.000943468;0.000405415;0.000876755
71000;0.0184951;0.00250355;0.00100584;0.0791231;0.0208037;0.000902809;0.000418442;0.000894519
71500;0.0190537;0.00229433;0.00102874;0.0847854;0.0224352;0.000909125;0.000411336;0.000900045
72000;0.0190746;0.00234999;0.000996366;0.0792296;0.0213844;0.000896492;0.000411336;0.000926494
72500;0.0194465;0.00230656;0.0010236;0.079506;0.02162;0.000890176;0.000405415;0.00100308
73000;0.0185674;0.00253947;0.00103229;0.0774884;0.0211605;0.000922152;0.000428706;0.000926494
73500;0.019139;0.00237762;0.00099005;0.0771935;0.024602;0.000903598;0.000414494;0.000921362
74000;0.0192325;0.00244078;0.00101887;0.0793481;0.0209912;0.000906361;0.000420811;0.000881097
74500;0.0192357;0.00246328;0.00103031;0.0789675;0.0213323;0.000904782;0.000416074;0.000941889
75000;0.0196841;0.00259355;0.000999129;0.0780612;0.0203702;0.000958074;0.000436206;0.000884255
75500;0.0193281;0.00246999;0.00126362;0.0797641;0.0213102;0.000895703;0.000413705;0.000963996
76000;0.0192807;0.00290778;0.00119848;0.0777604;0.0206422;0.00091623;0.000426337;0.000928468
76500;0.019231;0.00246881;0.00101058;0.0804269;0.021052;0.000891361;0.000408573;0.000915441
77000;0.0194141;0.002635;0.0010615;0.0780225;0.0205581;0.0009336;0.00043068;0.000939521
77500;0.0194812;0.00255447;0.00101492;0.0812682;0.0217215;0.000931626;0.000426337;0.000931626
78000;0.0198519;0.00254815;0.0010315;0.0839497;0.0225327;0.000914651;0.000423969;0.000932021
78500;0.0197611;0.0027179;0.00103268;0.0727923;0.0254764;0.000950574;0.000444496;0.00091702
